antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Adventure - G'}),frozenset({'action -G'}),0.3705263157894737,0.43963065558633424,0.16716528162511543,0.45115629984051037,1.026216652791886,0.004270554502599999,1.0209998661746993
frozenset({'action -G'}),frozenset({'Adventure - G'}),0.43963065558633424,0.3705263157894737,0.16716528162511543,0.38024027556078305,1.0262166527918861,0.004270554502599999,1.015673751275301
frozenset({'action -G'}),frozenset({'Indie - G'}),0.43963065558633424,0.7173037857802401,0.3391689750692521,0.7714861799546333,1.075536188778729,0.02382024147212569,1.2371077345065449
frozenset({'Indie - G'}),frozenset({'action -G'}),0.7173037857802401,0.43963065558633424,0.3391689750692521,0.47283867977961996,1.075536188778729,0.02382024147212569,1.0629940455028133
frozenset({'action -G'}),frozenset({'Early Access -G'}),0.43963065558633424,0.10910433979686057,0.0633056325023084,0.14399731160211712,1.3198128678494656,0.015340020070100414,1.040762689508094
frozenset({'Early Access -G'}),frozenset({'action -G'}),0.10910433979686057,0.43963065558633424,0.0633056325023084,0.5802301963439405,1.3198128678494656,0.015340020070100414,1.3349443898370714
frozenset({'Strategy - G'}),frozenset({'Simulation - G'}),0.1937950138504155,0.19183748845798707,0.05979686057248384,0.30855727082142176,1.6084305174220244,0.022619711839739313,1.1688061461027952
frozenset({'Simulation - G'}),frozenset({'Strategy - G'}),0.19183748845798707,0.1937950138504155,0.05979686057248384,0.3117058144012322,1.6084305174220244,0.022619711839739313,1.1713087267303333
frozenset({'Adventure - G'}),frozenset({'Indie - G'}),0.3705263157894737,0.7173037857802401,0.2815512465373961,0.7598684210526315,1.0593397610833633,0.015771317490401837,1.177255467435712
frozenset({'Indie - G'}),frozenset({'Adventure - G'}),0.7173037857802401,0.3705263157894737,0.2815512465373961,0.39251325884351984,1.0593397610833633,0.015771317490401837,1.0361932887822198
frozenset({'Adventure - G'}),frozenset({'RPG - G'}),0.3705263157894737,0.15922437673130194,0.08901200369344414,0.24023125996810207,1.508759304949284,0.03001518199931963,1.1066204477343975
frozenset({'RPG - G'}),frozenset({'Adventure - G'}),0.15922437673130194,0.3705263157894737,0.08901200369344414,0.5590350266759453,1.508759304949284,0.03001518199931963,1.427491348043966
frozenset({'Indie - G'}),frozenset({'Casual - G'}),0.7173037857802401,0.3771006463527239,0.29466297322253,0.41079244117192726,1.0893443040871627,0.024167251973545634,1.0571815386859869
frozenset({'Casual - G'}),frozenset({'Indie - G'}),0.3771006463527239,0.7173037857802401,0.29466297322253,0.7813907933398628,1.0893443040871627,0.024167251973545634,1.293157861641464
frozenset({'RPG - G'}),frozenset({'Indie - G'}),0.15922437673130194,0.7173037857802401,0.11874422899353647,0.7457666434701925,1.0396803394241008,0.0045319807756744185,1.1119556382311904
frozenset({'Indie - G'}),frozenset({'RPG - G'}),0.7173037857802401,0.15922437673130194,0.11874422899353647,0.1655424540445909,1.0396803394241008,0.0045319807756744185,1.0075714784339989
frozenset({'Indie - G'}),frozenset({'Early Access -G'}),0.7173037857802401,0.10910433979686057,0.08831024930747923,0.12311415478090726,1.1284074951567582,0.010049293326137423,1.0159767831359467
frozenset({'Early Access -G'}),frozenset({'Indie - G'}),0.10910433979686057,0.7173037857802401,0.08831024930747923,0.8094109681787407,1.1284074951567582,0.010049293326137423,1.4832764064035004
frozenset({'Simulation - G'}),frozenset({'Casual - G'}),0.19183748845798707,0.3771006463527239,0.08380424746075715,0.43685021178282635,1.158444611559258,0.011462206568567015,1.1060988864423769
frozenset({'Casual - G'}),frozenset({'Simulation - G'}),0.3771006463527239,0.19183748845798707,0.08380424746075715,0.22223310479921646,1.158444611559258,0.011462206568567015,1.0390806249646078
"frozenset({'Adventure - G', 'action -G'})",frozenset({'Indie - G'}),0.16716528162511543,0.7173037857802401,0.1351431209602955,0.8084401237295625,1.1270540317171054,0.015234831599580181,1.4757590144851593
"frozenset({'Adventure - G', 'Indie - G'})",frozenset({'action -G'}),0.2815512465373961,0.43963065558633424,0.1351431209602955,0.4799947527220255,1.0918136545365742,0.011364561863910425,1.0776224804403063
"frozenset({'action -G', 'Indie - G'})",frozenset({'Adventure - G'}),0.3391689750692521,0.3705263157894737,0.1351431209602955,0.3984536643798323,1.07537210557057,0.009472090197793659,1.0464259308662678
frozenset({'Adventure - G'}),"frozenset({'action -G', 'Indie - G'})",0.3705263157894737,0.3391689750692521,0.1351431209602955,0.3647328548644338,1.07537210557057,0.009472090197793659,1.0402411489259786
frozenset({'action -G'}),"frozenset({'Adventure - G', 'Indie - G'})",0.43963065558633424,0.2815512465373961,0.1351431209602955,0.3074014954213224,1.091813654536574,0.011364561863910425,1.0373235701680463
frozenset({'Indie - G'}),"frozenset({'Adventure - G', 'action -G'})",0.7173037857802401,0.16716528162511543,0.1351431209602955,0.18840430461871172,1.1270540317171054,0.015234831599580181,1.026169462349869
"frozenset({'action -G', 'Casual - G'})",frozenset({'Indie - G'}),0.12554016620498615,0.7173037857802401,0.11017543859649123,0.8776110620770815,1.2234858918560827,0.02012500211017411,2.3098183464734707
frozenset({'Indie - G'}),"frozenset({'action -G', 'Casual - G'})",0.7173037857802401,0.12554016620498615,0.11017543859649123,0.15359662221306833,1.2234858918560827,0.02012500211017411,1.0331478544916026
"frozenset({'action -G', 'RPG - G'})",frozenset({'Indie - G'}),0.06518928901200369,0.7173037857802401,0.05100646352723915,0.7824362606232296,1.0908017999265711,0.004245939726606696,1.2993719221298865
frozenset({'Indie - G'}),"frozenset({'action -G', 'RPG - G'})",0.7173037857802401,0.06518928901200369,0.05100646352723915,0.07110859379022706,1.0908017999265711,0.004245939726606696,1.0063724400275984
"frozenset({'action -G', 'Indie - G'})",frozenset({'Early Access -G'}),0.3391689750692521,0.10910433979686057,0.053776546629732226,0.15855384950451923,1.4532313728283204,0.016771739525223615,1.058767289717281
"frozenset({'action -G', 'Early Access -G'})",frozenset({'Indie - G'}),0.0633056325023084,0.7173037857802401,0.053776546629732226,0.8494749124854142,1.184261019285443,0.008367176774613794,1.8780670975684817
"frozenset({'Indie - G', 'Early Access -G'})",frozenset({'action -G'}),0.08831024930747923,0.43963065558633424,0.053776546629732226,0.6089502300292764,1.3851405089509081,0.01495265383169251,1.4329872753936626
frozenset({'action -G'}),"frozenset({'Indie - G', 'Early Access -G'})",0.43963065558633424,0.08831024930747923,0.053776546629732226,0.12232210367134337,1.3851405089509081,0.01495265383169251,1.0387520917481645
frozenset({'Indie - G'}),"frozenset({'action -G', 'Early Access -G'})",0.7173037857802401,0.0633056325023084,0.053776546629732226,0.07497039287369342,1.184261019285443,0.008367176774613794,1.0126101481309586
frozenset({'Early Access -G'}),"frozenset({'action -G', 'Indie - G'})",0.10910433979686057,0.3391689750692521,0.053776546629732226,0.4928909952606635,1.4532313728283202,0.016771739525223615,1.3031340771998858
"frozenset({'Strategy - G', 'Indie - G'})",frozenset({'Casual - G'}),0.13551246537396122,0.3771006463527239,0.05843028624192059,0.43118015808122107,1.143408695401475,0.007328447960548698,1.0950731808969125
"frozenset({'Strategy - G', 'Casual - G'})",frozenset({'Indie - G'}),0.07072945521698984,0.7173037857802401,0.05843028624192059,0.8261096605744126,1.1516873003476762,0.0076957802485998275,1.6257154661586797
"frozenset({'Indie - G', 'Casual - G'})",frozenset({'Strategy - G'}),0.29466297322253,0.1937950138504155,0.05843028624192059,0.19829531210829784,1.0232219507017657,0.001326071265055781,1.0056134114292348
frozenset({'Strategy - G'}),"frozenset({'Indie - G', 'Casual - G'})",0.1937950138504155,0.29466297322253,0.05843028624192059,0.3015056222603393,1.0232219507017657,0.001326071265055781,1.0097962836293002
frozenset({'Indie - G'}),"frozenset({'Strategy - G', 'Casual - G'})",0.7173037857802401,0.07072945521698984,0.05843028624192059,0.0814582153339169,1.1516873003476762,0.0076957802485998275,1.0116802091053783
frozenset({'Casual - G'}),"frozenset({'Strategy - G', 'Indie - G'})",0.3771006463527239,0.13551246537396122,0.05843028624192059,0.15494613124387857,1.143408695401475,0.007328447960548698,1.0229969550917775
"frozenset({'Adventure - G', 'Casual - G'})",frozenset({'Indie - G'}),0.13163434903047092,0.7173037857802401,0.10060941828254848,0.7643097643097643,1.0655314797737947,0.006187601384274211,1.199439651760981
frozenset({'Indie - G'}),"frozenset({'Adventure - G', 'Casual - G'})",0.7173037857802401,0.13163434903047092,0.10060941828254848,0.14026054271149785,1.0655314797737947,0.006187601384274211,1.0100334974833338
"frozenset({'Adventure - G', 'RPG - G'})",frozenset({'Indie - G'}),0.08901200369344414,0.7173037857802401,0.07438596491228071,0.8356846473029046,1.1650358800126739,0.010537317683088507,1.720449182499044
"frozenset({'Adventure - G', 'Indie - G'})",frozenset({'RPG - G'}),0.2815512465373961,0.15922437673130194,0.07438596491228071,0.26420044601862785,1.6592964685581881,0.02955614316444268,1.142669384235565
"frozenset({'RPG - G', 'Indie - G'})",frozenset({'Adventure - G'}),0.11874422899353647,0.3705263157894737,0.07438596491228071,0.626438569206843,1.6906722748480139,0.030388103222044036,1.68506069503484
frozenset({'Adventure - G'}),"frozenset({'RPG - G', 'Indie - G'})",0.3705263157894737,0.11874422899353647,0.07438596491228071,0.20075757575757577,1.6906722748480139,0.030388103222044036,1.102613855666855
frozenset({'RPG - G'}),"frozenset({'Adventure - G', 'Indie - G'})",0.15922437673130194,0.2815512465373961,0.07438596491228071,0.4671769890976572,1.6592964685581884,0.02955614316444268,1.3483816178394799
frozenset({'Indie - G'}),"frozenset({'Adventure - G', 'RPG - G'})",0.7173037857802401,0.08901200369344414,0.07438596491228071,0.10370217805468308,1.1650358800126739,0.010537317683088507,1.0163898360584604
"frozenset({'Simulation - G', 'Indie - G'})",frozenset({'Casual - G'}),0.13100646352723916,0.3771006463527239,0.06555863342566944,0.5004228925852833,1.327027406145597,0.016156011353163004,1.2468532773063703
"frozenset({'Simulation - G', 'Casual - G'})",frozenset({'Indie - G'}),0.08380424746075715,0.7173037857802401,0.06555863342566944,0.7822829440282063,1.0905880598096742,0.005445529457604258,1.2984569029648487
"frozenset({'Indie - G', 'Casual - G'})",frozenset({'Simulation - G'}),0.29466297322253,0.19183748845798707,0.06555863342566944,0.2224868388067185,1.159767262358857,0.009031228701096183,1.0394197190201804
frozenset({'Simulation - G'}),"frozenset({'Indie - G', 'Casual - G'})",0.19183748845798707,0.29466297322253,0.06555863342566944,0.3417404697728148,1.159767262358857,0.009031228701096183,1.0715181389535475
frozenset({'Indie - G'}),"frozenset({'Simulation - G', 'Casual - G'})",0.7173037857802401,0.08380424746075715,0.06555863342566944,0.09139591164203696,1.0905880598096742,0.005445529457604258,1.0083553048886227
frozenset({'Casual - G'}),"frozenset({'Simulation - G', 'Indie - G'})",0.3771006463527239,0.13100646352723916,0.06555863342566944,0.17384916748285995,1.327027406145597,0.016156011353163004,1.051858210715695
